,Unnamed: 0,disentanglement,avg_corr_coef,IOSS,IRS,gaussian_total_correlation,gaussian_wasserstein_dependency,dataset,IOSS_classify,IRS_classify,gaussian_total_correlation_classify,gaussian_wasserstein_dependency_classify,avg_corr_coef_classify
0,0,entangled,0.0894426018826138,0.7797568304405724,0.629967967192096,2.609708199732653,0.3968638007329137,dsprites,True,True,False,False,False
1,1,disentangled,0.8914932382012938,0.7059324499252855,1.0,3.3382217111673667,0.4451211770579049,dsprites,True,True,False,False,False
0,0,entangled,0.0401386556781941,1.0632397942941727,0.5416574865982156,4.987884991441292,0.4170553922662037,mpi3d,True,True,True,True,False
1,1,disentangled,0.8461922693130077,0.8871154358201142,1.0,4.439240496303921,0.3103375700522193,mpi3d,True,True,True,True,False
0,0,entangled,0.0833152490084994,0.8207233237691001,0.6052883410330225,4.486809612574154,0.5752343053433961,dsprites,True,True,True,True,False
1,1,disentangled,0.8933917461813963,0.7087021520964587,1.0,3.355567050155832,0.4447750254573332,dsprites,True,True,True,True,False
0,0,entangled,0.7193212365987889,0.6545133640239297,0.5452069551005037,1.0294497461760477,0.221055805925954,smallnorb,True,True,False,False,False
1,1,disentangled,0.9009898099574924,0.5593738457339243,1.0,2.405139022519387,0.2702053415958405,smallnorb,True,True,False,False,False
0,0,entangled,0.1512875408974479,0.6238893738279343,0.4771046267489279,0.5227950937299364,0.1470924725202442,smallnorb,True,True,False,False,False
1,1,disentangled,0.908724830249564,0.613078379604937,1.0,2.522292688414969,0.283062710031316,smallnorb,True,True,False,False,False
0,0,entangled,0.0421870462534825,0.8079577496006846,0.6156632602290076,2.424940926845535,0.3171551417676055,dsprites,True,True,False,False,False
1,1,disentangled,0.8903777642296729,0.6992306601471617,1.0,3.2777609998421307,0.429588842602542,dsprites,True,True,False,False,False
0,0,entangled,0.1930639875487483,0.4797199502059924,0.7155560255735847,0.3156954906196229,0.1078425833345265,cars3d,False,True,False,True,False
1,1,disentangled,0.9104908720121484,0.503578593624219,1.0,1.5220521486926373,0.0176160204587511,cars3d,False,True,False,True,False
0,0,entangled,0.3832330816668828,1.128845781253486,0.5464400721295222,5.721527931589312,0.590231531140788,mpi3d,True,True,True,True,False
1,1,disentangled,0.8446615195131149,0.8681163009070416,1.0,4.387341564387025,0.3071426340655985,mpi3d,True,True,True,True,False
0,0,entangled,0.1152353352344624,0.7227895031347606,0.5673825744993464,1.52086924592844,0.3194607870643774,smallnorb,True,True,False,True,False
1,1,disentangled,0.9021734213422368,0.5652454164141569,1.0,2.421205593006708,0.2706485112032658,smallnorb,True,True,False,True,False
0,0,entangled,0.5552808737776208,0.5119329424771775,0.7198977155488155,0.1947558469101709,0.0545802411635494,cars3d,True,True,False,True,False
1,1,disentangled,0.9181938568856244,0.4771095742029477,1.0,1.6000066226625125,0.0180479207770488,cars3d,True,True,False,True,False
0,0,entangled,0.0765776700550303,1.1106256204077858,0.5605775628022105,4.733068947132985,0.5863095181172214,mpi3d,True,True,True,True,False
